Sample	Marker	Overlap_Score
CC003N1	Nax10_CC003_0.1	0
CC003N1	Nax11_CC003_0.1	0
CC003N1	Nax15_CC003_0.1	0
CC003N1	Nax30_CC003_0.1	0
CC003N1	Nax38_CC003_0.1	0
CC003N1	Nax40LA_CC003_0.1	0
CC003N1	Nax40UA_CC003_0.1	0
CC003N1	Nax43_CC003_0.1	0
CC003N1	Nax47_CC003_0.1	0
CC003N1	Nax49_CC003_0.1	0
CC003N1	Nax50_CC003_0.1	0
CC003N1	Nax51_CC003_0.1	0
CC003N1	Nax55_CC003_0.1	0
CC003N1	S1124_CC003_0.1	0
CC003N1	Sal2_CC003_0.1	0
CC003N1	Sal21_CC003_0.1	0
CC003N1	Sal22_CC003_0.1	0
CC003N1	Sal26_CC003_0.1	0
CC003N1	Sal27_CC003_0.1	0
CC003N1	Sal45_CC003_0.1	0
CC003N1	Sal46_CC003_0.1	0
CC003N1	Sal52_CC003_0.1	0
CC003N1	Sal57_CC003_0.1	0
CC003N1	Sal58_CC003_0.1	0
CC003N1	Sal66_CC003_0.1	0
CC003N1	Sal74_CC003_0.1	0
CC003N1	Sal78_CC003_0.1	0
CC003N1	Sal87_CC003_0.1	0
CC003P1	Nax10_CC003_0.1	0.00469164343262385
CC003P1	Nax11_CC003_0.1	0.00994684192274693
CC003P1	Nax15_CC003_0.1	0.0204736563227129
CC003P1	Nax30_CC003_0.1	0.014324242678201
CC003P1	Nax38_CC003_0.1	0.0397876869542296
CC003P1	Nax40LA_CC003_0.1	0.00435687524161339
CC003P1	Nax40UA_CC003_0.1	0.00683248549493801
CC003P1	Nax43_CC003_0.1	0.0138694566114222
CC003P1	Nax47_CC003_0.1	0.035369622189082
CC003P1	Nax49_CC003_0.1	0.00324022042900449
CC003P1	Nax50_CC003_0.1	0.0190132301384206
CC003P1	Nax51_CC003_0.1	0.0296494925950301
CC003P1	Nax55_CC003_0.1	0.0403676112331922
CC003P1	S1124_CC003_0.1	0.00900397583456348
CC003P1	Sal2_CC003_0.1	0.0149188568476257
CC003P1	Sal21_CC003_0.1	0.00867886992694362
CC003P1	Sal22_CC003_0.1	0.00541065627554155
CC003P1	Sal26_CC003_0.1	0.0174423306978514
CC003P1	Sal27_CC003_0.1	0.00816799468836854
CC003P1	Sal45_CC003_0.1	0.0329848721155164
CC003P1	Sal46_CC003_0.1	0.0100790895065935
CC003P1	Sal52_CC003_0.1	0.0539247174925663
CC003P1	Sal57_CC003_0.1	0.115390831425876
CC003P1	Sal58_CC003_0.1	0.0728836019544238
CC003P1	Sal66_CC003_0.1	0.0563680091035561
CC003P1	Sal74_CC003_0.1	0.0599924041700223
CC003P1	Sal78_CC003_0.1	0.00587747464410648
CC003P1	Sal87_CC003_0.1	0.018450120064823
CC003P2	Nax10_CC003_0.1	0.00996255332460083
CC003P2	Nax11_CC003_0.1	0.0537779955088283
CC003P2	Nax15_CC003_0.1	0.0945633271373584
CC003P2	Nax30_CC003_0.1	0.0126651201924447
CC003P2	Nax38_CC003_0.1	0.0573303521090909
CC003P2	Nax40LA_CC003_0.1	0.0420556723956603
CC003P2	Nax40UA_CC003_0.1	0.00857134072963082
CC003P2	Nax43_CC003_0.1	0.0972471045007557
CC003P2	Nax47_CC003_0.1	0.0203486589334986
CC003P2	Nax49_CC003_0.1	0.028030536629471
CC003P2	Nax50_CC003_0.1	0.038340425406419
CC003P2	Nax51_CC003_0.1	0.244394897052735
CC003P2	Nax55_CC003_0.1	0.0438085703178619
CC003P2	S1124_CC003_0.1	0.0379247781265958
CC003P2	Sal2_CC003_0.1	0.0160367212521175
CC003P2	Sal21_CC003_0.1	0.013914077261202
CC003P2	Sal22_CC003_0.1	0.0679707054443503
CC003P2	Sal26_CC003_0.1	0.033403052172793
CC003P2	Sal27_CC003_0.1	0.0129609622291665
CC003P2	Sal45_CC003_0.1	0.0363366204513456
CC003P2	Sal46_CC003_0.1	0.00906181534280354
CC003P2	Sal52_CC003_0.1	0.068625774175324
CC003P2	Sal57_CC003_0.1	0.0389278822344041
CC003P2	Sal58_CC003_0.1	0.0571142913713916
CC003P2	Sal66_CC003_0.1	0.0133061319790886
CC003P2	Sal74_CC003_0.1	0.0451484725658894
CC003P2	Sal78_CC003_0.1	0.00493613171573842
CC003P2	Sal87_CC003_0.1	0.0786169432318271
CC003P3	Nax10_CC003_0.1	0.0115256350608179
CC003P3	Nax11_CC003_0.1	0.0214496579994903
CC003P3	Nax15_CC003_0.1	0.0163477045502337
CC003P3	Nax30_CC003_0.1	0.0143945679442258
CC003P3	Nax38_CC003_0.1	0.0290146078420624
CC003P3	Nax40LA_CC003_0.1	0.0101293731685513
CC003P3	Nax40UA_CC003_0.1	0.00825053586656931
CC003P3	Nax43_CC003_0.1	0.0214422122249055
CC003P3	Nax47_CC003_0.1	0.0734453684423056
CC003P3	Nax49_CC003_0.1	0.0163707094285133
CC003P3	Nax50_CC003_0.1	0.0526034597529366
CC003P3	Nax51_CC003_0.1	0.123814691210705
CC003P3	Nax55_CC003_0.1	0.04027060889692
CC003P3	S1124_CC003_0.1	0.034521820928536
CC003P3	Sal2_CC003_0.1	0.0180621224352208
CC003P3	Sal21_CC003_0.1	0.0428269865826493
CC003P3	Sal22_CC003_0.1	0.0844678536880019
CC003P3	Sal26_CC003_0.1	0.0245376781761284
CC003P3	Sal27_CC003_0.1	0.00525717020152569
CC003P3	Sal45_CC003_0.1	0.0064335394312444
CC003P3	Sal46_CC003_0.1	0.00330983863134449
CC003P3	Sal52_CC003_0.1	0.0183172185870459
CC003P3	Sal57_CC003_0.1	0.0710926054437505
CC003P3	Sal58_CC003_0.1	0.00621618376330034
CC003P3	Sal66_CC003_0.1	0.0574541742322634
CC003P3	Sal74_CC003_0.1	0.0195160116086915
CC003P3	Sal78_CC003_0.1	0.00337422602583402
CC003P3	Sal87_CC003_0.1	0.0868611728904689
