Sample	Marker	Overlap_Score
WGS005N1	JF21_WGS00E_0.1	0
WGS005N1	Nax10_WGS00E_0.1	0
WGS005N1	Nax11_WGS00E_0.1	0
WGS005N1	Nax15_WGS00E_0.1	0
WGS005N1	Nax17_WGS00E_0.1	0
WGS005N1	Nax30LA_WGS00E_0.1	0
WGS005N1	Nax30UA_WGS00E_0.1	0
WGS005N1	Nax38_WGS00E_0.1	0
WGS005N1	Nax40_WGS00E_0.1	0
WGS005N1	Nax43_WGS00E_0.1	0
WGS005N1	Nax47_WGS00E_0.1	0
WGS005N1	Nax49_WGS00E_0.1	0
WGS005N1	Nax50_WGS00E_0.1	0
WGS005N1	Nax51_WGS00E_0.1	0
WGS005N1	Nax55_WGS00E_0.1	0
WGS005N1	Nax56_WGS00E_0.1	0
WGS005N1	S1124_WGS00E_0.1	0
WGS005N1	Sal2_WGS00E_0.1	0
WGS005N1	Sal21_WGS00E_0.1	0
WGS005N1	Sal22_WGS00E_0.1	0
WGS005N1	Sal26LA_WGS00E_0.1	0
WGS005N1	Sal26UA_WGS00E_0.1	0
WGS005N1	Sal27_WGS00E_0.1	0
WGS005N1	Sal45_WGS00E_0.1	0
WGS005N1	Sal46_WGS00E_0.1	0
WGS005N1	Sal52_WGS00E_0.1	0
WGS005N1	Sal57_WGS00E_0.1	0
WGS005N1	Sal58LA_WGS00E_0.1	0
WGS005N1	Sal58UA_WGS00E_0.1	0
WGS005N1	Sal66_WGS00E_0.1	0
WGS005N1	Sal74_WGS00E_0.1	0
WGS005N1	Sal78_WGS00E_0.1	0
WGS005N1	Sal84_WGS00E_0.1	0
WGS005N1	Sal87_WGS00E_0.1	0
WGS005P1	JF21_WGS00E_0.1	0.00963492417694853
WGS005P1	Nax10_WGS00E_0.1	0.0167763872802202
WGS005P1	Nax11_WGS00E_0.1	0.0729295053880192
WGS005P1	Nax15_WGS00E_0.1	0.0238735834716635
WGS005P1	Nax17_WGS00E_0.1	0.0232550679134531
WGS005P1	Nax30LA_WGS00E_0.1	0.00905584844014415
WGS005P1	Nax30UA_WGS00E_0.1	0.102744476064966
WGS005P1	Nax38_WGS00E_0.1	0.0299016975347493
WGS005P1	Nax40_WGS00E_0.1	0.00201841116007385
WGS005P1	Nax43_WGS00E_0.1	0.00975713010167951
WGS005P1	Nax47_WGS00E_0.1	0.00305006362146132
WGS005P1	Nax49_WGS00E_0.1	0.00945234086489485
WGS005P1	Nax50_WGS00E_0.1	0.025001406848003
WGS005P1	Nax51_WGS00E_0.1	0.00714474242494994
WGS005P1	Nax55_WGS00E_0.1	0.00817628764514153
WGS005P1	Nax56_WGS00E_0.1	0.0165518663925339
WGS005P1	S1124_WGS00E_0.1	0.0200289233138017
WGS005P1	Sal2_WGS00E_0.1	0.00153941262547908
WGS005P1	Sal21_WGS00E_0.1	0.0139705320501638
WGS005P1	Sal22_WGS00E_0.1	0.00829921788985256
WGS005P1	Sal26LA_WGS00E_0.1	0.0275488621959578
WGS005P1	Sal26UA_WGS00E_0.1	0.0276126511757449
WGS005P1	Sal27_WGS00E_0.1	0.0353080465762948
WGS005P1	Sal45_WGS00E_0.1	0.0120112486470045
WGS005P1	Sal46_WGS00E_0.1	0.0169497477108509
WGS005P1	Sal52_WGS00E_0.1	0.0305791642053431
WGS005P1	Sal57_WGS00E_0.1	0.00815276159161435
WGS005P1	Sal58LA_WGS00E_0.1	0.0167850518302494
WGS005P1	Sal58UA_WGS00E_0.1	0.0223024604716038
WGS005P1	Sal66_WGS00E_0.1	0.0104021109311418
WGS005P1	Sal74_WGS00E_0.1	0.0101663411387253
WGS005P1	Sal78_WGS00E_0.1	0.00853392342392115
WGS005P1	Sal84_WGS00E_0.1	0.0301521258588229
WGS005P1	Sal87_WGS00E_0.1	0.0801081145152326
WGS005P2	JF21_WGS00E_0.1	0.0148512134927728
WGS005P2	Nax10_WGS00E_0.1	0.0254002145668092
WGS005P2	Nax11_WGS00E_0.1	0.0572559194347928
WGS005P2	Nax15_WGS00E_0.1	0.00851052900844526
WGS005P2	Nax17_WGS00E_0.1	0.0152155286276476
WGS005P2	Nax30LA_WGS00E_0.1	0.0152948081045327
WGS005P2	Nax30UA_WGS00E_0.1	0.0726904700470669
WGS005P2	Nax38_WGS00E_0.1	0.0206576722250794
WGS005P2	Nax40_WGS00E_0.1	0.0150710308153566
WGS005P2	Nax43_WGS00E_0.1	0.00809038440897288
WGS005P2	Nax47_WGS00E_0.1	0.00772731724413123
WGS005P2	Nax49_WGS00E_0.1	0.00768343307063593
WGS005P2	Nax50_WGS00E_0.1	0.0129531187373653
WGS005P2	Nax51_WGS00E_0.1	0.0215120942576419
WGS005P2	Nax55_WGS00E_0.1	0.00543704577224786
WGS005P2	Nax56_WGS00E_0.1	0.00865053495807875
WGS005P2	S1124_WGS00E_0.1	0.0337093065724971
WGS005P2	Sal2_WGS00E_0.1	0.00329266590370419
WGS005P2	Sal21_WGS00E_0.1	0.00666968038040466
WGS005P2	Sal22_WGS00E_0.1	0.0155553740268299
WGS005P2	Sal26LA_WGS00E_0.1	0.0172654222788211
WGS005P2	Sal26UA_WGS00E_0.1	0.015378720926839
WGS005P2	Sal27_WGS00E_0.1	0.0246263031078238
WGS005P2	Sal45_WGS00E_0.1	0.0157537831244347
